NCT_ID;Asset_Name;Antibody_Format;Antibody_Name;Target_Antigen;Radioisotope;Chelator;Linker_Technology;Category;Asset_Owner;Is_RIT;Asset_Name_Conf;Antibody_Format_Conf;Antibody_Name_Conf;Target_Antigen_Conf;Radioisotope_Conf;Chelator_Conf;Linker_Technology_Conf;Category_Conf;Asset_Owner_Conf;Notes;Extraction_Method;Sources;Phase;Lead_Sponsor;Sponsor_Class;Status;Start_Date;First_Posted;Enrollment;Countries;Conditions;EudraCT_Number;CTIS_Number;Secondary_IDs;Source_Registry;Registry_URL;Target_Antigen_Norm;Antibody_Name_Norm;Radioisotope_Norm;Chelator_Norm;Antibody_Format_Norm;Asset_Owner_Norm;Linker_Technology_Norm;Phase_Norm;Sponsor_Type;Start_Year;Target_Family;Format_Family;Isotope_Family;Chelator_Family
NCT06442475;;;;;;;;;;No;;;;;;;;;;False positive: Mosunetuzumab is an unconjugated bispecific antibody (CD20 x CD3 T-cell engager), not a radiolabeled antibody. The PET/CT mentioned is a diagnostic imaging procedure for disease assessment, not administration of a radiolabeled antibody. This is a bispecific antibody immunotherapy trial, not radioimmunotherapy.;llm_extracted;;PHASE2;University of Washington;OTHER;RECRUITING;2024-08-29;2024-06-04;20.0;United States;Ann Arbor Stage II Follicular Lymphoma, Ann Arbor Stage II Marginal Zone Lymphoma, Ann Arbor Stage III Follicular Lymphoma, Ann Arbor Stage III Marginal Zone Lymphoma, Ann Arbor Stage IV Follicular Lymphoma, Ann Arbor Stage IV Marginal Zone Lymphoma, Grade 1 Follicular Lymphoma, Grade 2 Follicular Lymphoma, Grade 3a Follicular Lymphoma;;;REGISTRY:NCI-2024-02289 | OTHER:20417;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT06442475;;;;;;;;Phase 2;Academic/Hospital;2024.0;;;;
NCT06843629;[68Ga]Ga-NOTA-MSLN antibody fragment;Antibody fragment;MS3;MSLN;Ga-68;NOTA;Direct conjugation;Diagnostic;Union Hospital, Tongji Medical College, Huazhong University of Science and Technology;Diagnostic;HIGH;MEDIUM;;HIGH;HIGH;HIGH;MEDIUM;HIGH;HIGH;This is a diagnostic PET imaging study using a Ga-68 labeled MSLN-targeting antibody fragment. The trial explicitly states it is for 'diagnosis and staging' and 'PET imaging' purposes, not therapeutic. MSLN (Mesothelin) is highly expressed in pancreatic, ovarian, and lung adenocarcinomas. The antibody format is described as 'antibody fragment' but the specific type (Fab, scFv, etc.) is not specified. The detailed description mentions other MSLN-targeting approaches (including radioimmunotherapy with 227Th-MSLN) as context, but this specific trial uses only diagnostic Ga-68 imaging. NOTA is a macrocyclic chelator commonly used for Ga-68 labeling. This appears to be an academic-developed diagnostic probe from a Chinese institution. | WEB ENRICHMENT: No relevant articles found. The PubMed search returned articles about GPC3-targeted (PMID:41329470, PMID:41020769), CEA-targeted (PMID:41275230), HER2-targeted (PMID:41188605), and PD-L1-targeted (PMID:41176193) antibody fragments, but none discuss MSLN (mesothelin)-targeted constructs. The trial asset [68Ga]Ga-NOTA-MSLN antibody fragment requires information about a mesothelin-specific antibody, which was not found in any of the provided abstracts. | WEB SEARCH ENRICHMENT: The antibody name MS3 was identified from a June 2025 Journal of Nuclear Medicine abstract describing 68Ga-NOTA-MS3 PET imaging work conducted at Union Hospital, Tongji Medical College, Huazhong University of Science and Technology. MS3 is described as an MSLN-specific nanobody, which confirms the antibody fragment format. This directly matches the trial sponsor and the radiopharmaceutical construct ([68Ga]Ga-NOTA-MSLN antibody fragment).;llm_extracted;https://jnm.snmjournals.org/content/66/supplement_1/251254;;Union Hospital, Tongji Medical College, Huazhong University of Science and Technology;OTHER;RECRUITING;2024-10-01;2025-02-25;100.0;China;Ovarian Cancer, Lung Adenocarcinoma, Pancreatic Cancer;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT06843629;Mesothelin;MS3;Ga-68;NOTA;Antibody fragment;Union Hospital, Tongji Medical College, Huazhong University of Science and Technology;Direct conjugation;;Academic/Hospital;2024.0;Other tumor surface antigen;mAb Fragment;PET;Macrocyclic chelator
NCT03356470;;;;;;;;;;No;;;;;;;;;;False positive: This is an imaging biomarker study using F-FDG and F-FLT PET/CT to monitor response to immune checkpoint inhibitors (pembrolizumab/nivolumab). The radiolabeled tracers (F-FDG, F-FLT) are small molecules for PET imaging, not radiolabeled antibodies. The antibodies mentioned (anti-PD-1: pembrolizumab, nivolumab) are NOT radiolabeled - they are standard unconjugated immunotherapy drugs. This is a diagnostic imaging study to track treatment response, not a radioimmunotherapy trial.;llm_extracted;;;University of Wisconsin, Madison;OTHER;COMPLETED;2017-11-02;2017-11-29;5.0;United States;Melanoma;;;OTHER:2017-0046 | NIH:P30CA014520 | OTHER:A534260 | OTHER:SMPH\MEDICINE\HEM-ONC | OTHER:Protocol Version 6/19/2019;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT03356470;;;;;;;;;Academic/Hospital;2017.0;;;;
NCT05847569;;;;;;;;;;No;;;;;;;;;;False positive: Belantamab mafodotin is an antibody-drug conjugate (ADC), not a radioimmunotherapy agent. It consists of the anti-BCMA monoclonal antibody belantamab linked to mafodotin (a cytotoxic chemotherapy agent, specifically monomethyl auristatin F). There is no radioisotope involved. This is a chemotherapy-based targeted therapy, not RIT. The trial mentions PET/CT scans, but these are for disease monitoring only, not part of the therapeutic agent.;llm_extracted;;PHASE2;Mayo Clinic;OTHER;RECRUITING;2024-01-04;2023-05-06;62.0;United States;Recurrent Multiple Myeloma, Refractory Multiple Myeloma;;;REGISTRY:NCI-2023-03039 | OTHER:MC210812 | OTHER:22-001207;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT05847569;;;;;;;;Phase 2;Academic/Hospital;2024.0;;;;
NCT05626322;;;;;;;;;;No;;;;;;;;;;This is NOT a radioimmunotherapy trial. It is a combination trial of three non-radioactive agents: (1) Maplirpacept (PF-07901801) - a CD47 blocking agent (unconjugated antibody or fusion protein), (2) Tafasitamab - an unconjugated anti-CD19 monoclonal antibody, and (3) Lenalidomide - an immunomodulatory drug. None of these agents are radiolabeled. This is a standard immunotherapy combination trial for DLBCL. False positive match likely due to antibody keywords (CD19, CD47, monoclonal antibody) without radiolabeling context.;llm_extracted;;PHASE1, PHASE2;Pfizer;INDUSTRY;TERMINATED;2023-08-04;2022-11-23;6.0;Japan, South Korea, United States;Diffuse Large B-Cell Lymphoma;;;REGISTRY:2022-502427-21-00;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT05626322;;;;;;;;Phase 1/2;Industry;2023.0;;;;
NCT06863402;;;;;;;;;;No;;;;;;;;;;False positive. This trial involves nemtabrutinib (a BTK kinase inhibitor, not an antibody-based radiopharmaceutical) combined with pembrolizumab (an unconjugated monoclonal antibody PD-1 inhibitor, not radiolabeled). The PET/CT mentioned is for diagnostic imaging, not related to radioimmunotherapy. No radiolabeled antibody component is present. This is a small molecule kinase inhibitor + checkpoint inhibitor combination study.;llm_extracted;;PHASE2;Roswell Park Cancer Institute;OTHER;RECRUITING;2026-02-15;2025-03-07;32.0;United States;Richter Syndrome, Diffuse Large B-Cell Lymphoma, Chronic Lymphocytic Leukemia;;;REGISTRY:NCI-2025-01256 | OTHER:I-3586924;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT06863402;;;;;;;;Phase 2;Academic/Hospital;2026.0;;;;
NCT01844505;;;;;;;;;;No;;;;;;;;;;False positive: This trial involves immune checkpoint inhibitors (nivolumab anti-PD-1 and ipilimumab anti-CTLA-4) for melanoma treatment. These are unconjugated therapeutic antibodies, not radiolabeled antibodies. No radioisotope component is present. This is immunotherapy, not radioimmunotherapy.;llm_extracted;;PHASE3;Bristol-Myers Squibb;INDUSTRY;COMPLETED;2013-06-11;2013-05-01;945.0;Australia, Austria, Belgium, Canada, Czechia, Denmark, Finland, France, Germany, Ireland, Israel, Italy, Netherlands, New Zealand, Norway, Poland, Russia, Spain, Sweden, Switzerland, United Kingdom, United States;Unresectable or Metastatic Melanoma;2012-005371-13;;EUDRACT_NUMBER:2012-005371-13;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT01844505;;;;;;;;Phase 3;Industry;2013.0;;;;
NCT01445405;;;;;;;;;;No;;;;;;;;;;"False positive: External beam radiation therapy combined with unconjugated cetuximab antibody and chemotherapy agents (bortezomib, cisplatin). Cetuximab is not radiolabeled; it is administered as a standard monoclonal antibody therapy alongside separate external radiation treatment. The 'radiation therapy' refers to external beam radiotherapy (70 Gy in 2 Gy fractions), not radioimmunotherapy. This is a combination regimen of chemotherapy + antibody therapy + external radiation, not an antibody-based radiopharmaceutical.";llm_extracted;;PHASE1;National Cancer Institute (NCI);NIH;COMPLETED;2008-02-05;2011-10-03;3.0;United States;Carcinoma, Squamous, Head and Neck Cancer, Oral Cancer, Laryngeal Cancer, Pharyngeal Cancer;;;UNKNOWN:08-C-0071;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT01445405;;;;;;;;Phase 1;NIH;2008.0;;;;
NCT06381154;;;;;;;;;;No;;;;;;;;;;False positive - not RIT. This trial uses photodynamic therapy (PDT) with verteporfin (light-activated drug) combined with pembrolizumab (anti-PD1 checkpoint inhibitor antibody) and chemotherapy (mFOLFIRINOX). Pembrolizumab is an unconjugated antibody used for immunotherapy, not radiolabeled. Verteporfin is activated by light, not radioactivity. The 'photoradiation' terminology refers to photodynamic therapy, not radiopharmaceutical therapy. No radioisotope or antibody-radioisotope conjugate is involved.;llm_extracted;;PHASE2;Mayo Clinic;OTHER;RECRUITING;2024-12-06;2024-04-24;25.0;United States;Locally Advanced Pancreatic Adenocarcinoma, Metastatic Pancreatic Adenocarcinoma, Stage II Pancreatic Cancer AJCC v8, Stage III Pancreatic Cancer AJCC v8, Stage IV Pancreatic Cancer AJCC v8, Unresectable Pancreatic Adenocarcinoma;;;REGISTRY:NCI-2024-03078 | OTHER:23-009036 | OTHER:MC230404 | NIH:P01CA084203;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT06381154;;;;;;;;Phase 2;Academic/Hospital;2024.0;;;;
NCT02717156;;;;;;;;;;No;;;;;;;;;;False positive - not an RIT trial. This is a combination therapy trial using sEphB4-HSA (a non-radiolabeled recombinant fusion protein targeting EphrinB2) plus pembrolizumab (anti-PD1 antibody, also not radiolabeled). While PET/CT imaging is mentioned as a correlative study endpoint, no therapeutic or diagnostic radiolabeled antibody is administered. The trial involves two biologics but no radiopharmaceuticals. PET imaging mentioned is standard diagnostic imaging, not a radiolabeled antibody product.;llm_extracted;;PHASE2;University of Southern California;OTHER;ACTIVE_NOT_RECRUITING;2016-11-21;2016-03-23;103.0;United States;Stage IV Bladder Urothelial Carcinoma, Prostate Cancer, Urothelial Carcinoma;;;REGISTRY:NCI-2016-00147 | OTHER:4B-15-11 | NIH:P30CA014089;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT02717156;;;;;;;;Phase 2;Academic/Hospital;2016.0;;;;
NCT03789097;;;;;;;;;;No;;;;;;;;;;False positive: This trial combines external beam radiation therapy with immunotherapy agents (Flt3L, Poly-ICLC, and pembrolizumab antibody). The radiation is NOT delivered via a radiolabeled antibody - it is external beam radiotherapy applied to a target lesion as part of an in situ vaccination strategy. Pembrolizumab is an unconjugated checkpoint inhibitor antibody (anti-PD-1), not a radiopharmaceutical. This is a combination of radiation therapy + immunomodulatory agents, not an antibody-based radiopharmaceutical (RIT).;llm_extracted;;PHASE1, PHASE2;Icahn School of Medicine at Mount Sinai;OTHER;UNKNOWN;2019-04-05;2018-12-28;56.0;United States;Non-Hodgkin's Lymphoma, Metastatic Breast Cancer, Head and Neck Squamous Cell Carcinoma;;;OTHER:GCO 18-2394;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT03789097;;;;;;;;Phase 1/2;Academic/Hospital;2019.0;;;;
NCT01127633;;;;;;;;;;No;;;;;;;;;;False positive - solanezumab is an unconjugated monoclonal antibody targeting amyloid-beta for Alzheimer's disease treatment. There is no radiolabeling or radioisotope component. This is a therapeutic antibody, not a radioimmunotherapy agent.;llm_extracted;;PHASE3;Eli Lilly and Company;INDUSTRY;TERMINATED;2010-12;2010-05-21;1457.0;Argentina, Australia, Brazil, Canada, France, Germany, Italy, Japan, Poland, Russia, South Korea, Spain, Sweden, Taiwan, United Kingdom, United States;Alzheimer's Disease;;;OTHER:H8A-MC-LZAO;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT01127633;;;;;;;;Phase 3;Industry;2010.0;;;;
NCT05583344;;;;;;;;;;No;;;;;;;;;;False positive: GSK4532990 is a small molecule inhibitor of 17β-Hydroxysteroid Dehydrogenase type 13 (HSD17B13) for treatment of nonalcoholic steatohepatitis (NASH). This is not an antibody-based radiopharmaceutical. No antibody component, no radioisotope mentioned. This is a standard pharmacological intervention for liver disease.;llm_extracted;;PHASE2;GlaxoSmithKline;INDUSTRY;ACTIVE_NOT_RECRUITING;2023-01-02;2022-10-17;284.0;Argentina, Australia, Belgium, Canada, France, Greece, India, Italy, Japan, Mexico, Panama, Puerto Rico, South Korea, Spain, Turkey (Türkiye), United Kingdom, United States;Nonalcoholic Fatty Liver Disease, Non-alcoholic Fatty Liver Disease;2022-002538-14;;EUDRACT_NUMBER:2022-002538-14 | OTHER:2023-507503-62-00;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT05583344;;;;;;;;Phase 2;Industry;2023.0;;;;
NCT06575686;;;;;;;;;;No;;;;;;;;;;False positive. This trial involves epcoritamab (a bispecific monoclonal antibody targeting CD3 and CD20) combined with tazemetostat (an EZH2 inhibitor). Epcoritamab is NOT radiolabeled - it is an unconjugated bispecific antibody used for T-cell engagement immunotherapy. The PET/CT mentioned is for imaging/monitoring purposes only, not as a radiopharmaceutical intervention. This is a combination immunotherapy trial, not radioimmunotherapy.;llm_extracted;;PHASE2;City of Hope Medical Center;OTHER;SUSPENDED;2025-03-11;2024-08-28;33.0;United States;Recurrent Grade 1 Follicular Lymphoma, Recurrent Grade 2 Follicular Lymphoma, Recurrent Grade 3a Follicular Lymphoma, Refractory Grade 1 Follicular Lymphoma, Refractory Grade 2 Follicular Lymphoma, Refractory Grade 3a Follicular Lymphoma;;;REGISTRY:NCI-2024-06708 | OTHER:23820 | NIH:P30CA033572;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT06575686;;;;;;;;Phase 2;Academic/Hospital;2025.0;;;;
NCT04082442;;;;;;;;;;No;;;;;;;;;;This trial is NOT radioimmunotherapy. Evolocumab is a PCSK9 inhibitor monoclonal antibody used to lower LDL cholesterol in acute myocardial infarction patients. While the trial uses PET scans to measure myocardial and vascular inflammation as an outcome measure, the therapeutic intervention (evolocumab) is not radiolabeled. This is a cardiovascular drug trial, not an antibody-radiopharmaceutical conjugate. False positive match - likely captured due to PET imaging methodology mentioned in protocol.;llm_extracted;;PHASE2;Johns Hopkins University;OTHER;COMPLETED;2019-09-01;2019-09-09;100.0;United States;Acute Coronary Syndrome;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT04082442;;;;;;;;Phase 2;Academic/Hospital;2019.0;;;;
NCT06731270;;;;;;;;;;No;;;;;;;;;;This trial is NOT an antibody-based radiopharmaceutical study. It evaluates the addition of diclofenac (an NSAID) to standard immunotherapy checkpoint inhibitors (pembrolizumab, atezolizumab, nivolumab, or cemiplimab) in patients with metastatic NSCLC. The antibodies mentioned are unconjugated immune checkpoint inhibitors, not radiolabeled. PET imaging is mentioned as a standard assessment tool, not as a therapeutic intervention. This is a false positive match - likely triggered by the presence of both antibody names and PET in the description.;llm_extracted;;PHASE2;Emory University;OTHER;RECRUITING;2025-04-09;2024-12-12;20.0;United States;Advanced Lung Non-Small Cell Carcinoma, Metastatic Lung Non-Small Cell Carcinoma, Stage III Lung Cancer AJCC v8, Stage IV Lung Cancer AJCC v8;;;REGISTRY:NCI-2024-07760 | OTHER:STUDY00006572 | OTHER:Winship6018-23 | NIH:P30CA138292;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT06731270;;;;;;;;Phase 2;Academic/Hospital;2025.0;;;;
NCT02252211;89Zr-Df-DS-8895a;Full-length IgG;DS-8895a;EphA2;Zr-89;DFO;Direct conjugation;Diagnostic;Daiichi Sankyo Co., Ltd.;Diagnostic;HIGH;MEDIUM;HIGH;HIGH;HIGH;HIGH;MEDIUM;HIGH;HIGH;This is a diagnostic/bioimaging trial using Zr-89 (diagnostic isotope) for PET imaging to assess biodistribution and tumor uptake of DS-8895a antibody targeting EphA2. The study involves trace-labeling of the therapeutic antibody DS-8895a with 89Zr-Df (desferrioxamine chelator) for imaging purposes. Patients received both unlabeled DS-8895a (therapeutic doses) and trace amounts of 89Zr-labeled DS-8895a for PET imaging on Days 1 and 36. The primary purpose is safety and bioimaging, not radioimmunotherapy. DS-8895a is a monoclonal antibody developed by Daiichi Sankyo. EphA2 is a receptor tyrosine kinase overexpressed in various cancers. This represents an immunoPET approach to visualize antibody distribution and tumor targeting.;llm_extracted;;PHASE1;Ludwig Institute for Cancer Research;OTHER;COMPLETED;2014-12-09;2014-09-30;9.0;Australia;Malignant Solid Tumor, Metastatic EphA2 Positive Cancer;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT02252211;EphA2;DS-8895a;Zr-89;DFO;Full-length IgG;Daiichi Sankyo;Direct conjugation;Phase 1;Academic/Hospital;2014.0;RTK;Full-length IgG;PET;Siderophore chelator
NCT02829307;89Zr-GSK3128349;Nanobody / VHH / sdAb;GSK3128349;Albumin;Zr-89;DFO;Direct conjugation;Diagnostic;GlaxoSmithKline;Diagnostic;HIGH;HIGH;HIGH;HIGH;HIGH;;;HIGH;HIGH;This is a biodistribution/PET imaging study of an albumin-binding domain antibody (AlbudAb) labeled with Zr-89. GSK3128349 is described as a 'small protein molecule' and 'AlbudAb' which indicates it is a domain antibody (likely VHH/nanobody format) that binds albumin. The study explicitly states the molecule 'by itself, has no pharmacological action' and is intended as a platform for attaching active drugs. This is purely diagnostic/imaging to characterize the pharmacokinetics and biodistribution of the AlbudAb scaffold. Chelator not specified but Zr-89 labeling typically uses DFO (desferrioxamine). Conducted in healthy volunteers to establish baseline distribution data for future therapeutic applications. | WEB ENRICHMENT: Both abstracts explicitly discuss 89Zr-labeled GSK3128349 AlbudAb in the exact same clinical trial context (healthy volunteers, PET/CT imaging, biodistribution study). Zirconium-89 labeling of antibodies and antibody fragments universally requires desferrioxamine (DFO) as the chelator due to its high affinity for Zr-89 and favorable radiolabeling chemistry. The abstracts describe 89Zr-labeling of the AlbudAb, which for nanobodies typically involves direct conjugation of DFO to lysine residues or other reactive groups on the protein surface, though the specific attachment chemistry is not detailed in these abstracts.;llm_extracted;PMID:31115711|PMID:33073698;PHASE1;GlaxoSmithKline;INDUSTRY;COMPLETED;2016-08-23;2016-07-12;8.0;Netherlands;Drug-Related Side Effects and Adverse Reactions;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT02829307;Albumin;GSK3128349;Zr-89;DFO;Nanobody;GlaxoSmithKline;Direct conjugation;Phase 1;Industry;2016.0;Other;Small Ab-derived scaffold;PET;Siderophore chelator
NCT02309567;;;;;;;;;;No;;;;;;;;;;This is NOT an RIT trial. This is an observational study examining the correlation between serum anti-p53 antibody levels (a biomarker) and FDG-PET imaging parameters (SUVmax, MTV, TLG) in lung cancer patients. The trial uses 18F-FDG PET/CT for diagnostic imaging, but does not involve any radiolabeled antibody therapeutic or diagnostic agent. The intervention is blood collection only. Anti-p53 antibodies mentioned are endogenous autoantibodies produced by patients, not an administered radiopharmaceutical. This is a false positive match due to the presence of 'antibody' and 'PET' keywords in an oncology context.;llm_extracted;;;Cumhuriyet University;OTHER;COMPLETED;2014-05;2014-12-05;146.0;Turkey (Türkiye);Lung Neoplasms, Gene, p53;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT02309567;;;;;;;;;Academic/Hospital;2014.0;;;;
NCT07082270;;;;;;;;;;No;;;;;;;;;;False positive: Not a radioimmunotherapy trial. This is a combination trial of selvigaltin (oral galectin-3 inhibitor) with standard chemotherapy (daratumumab-hyaluronidase, carfilzomib, dexamethasone) for relapsed/refractory multiple myeloma. Daratumumab is a monoclonal antibody targeting CD38, but it is not radiolabeled. The trial includes PET/CT imaging procedures, which likely triggered the search match, but these are diagnostic imaging modalities, not radioimmunotherapy. No radiolabeled antibody or radiopharmaceutical is administered as a therapeutic intervention.;llm_extracted;;PHASE1;Roswell Park Cancer Institute;OTHER;NOT_YET_RECRUITING;2026-02-01;2025-07-24;21.0;United States;Recurrent Multiple Myeloma, Refractory Multiple Myeloma;;;REGISTRY:NCI-2025-04757 | OTHER:I-4514825;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT07082270;;;;;;;;Phase 1;Academic/Hospital;2026.0;;;;
NCT05627635;;;;;;;;;;No;;;;;;;;;;This trial does not involve radioimmunotherapy. It tests a combination of chemotherapy (FOLFOX), antiangiogenic therapy (bevacizumab), and immune checkpoint inhibitors (balstilimab targeting PD-L1 and botensilimab targeting CTLA-4) for microsatellite stable metastatic colorectal cancer. The antibodies used (balstilimab and botensilimab) are not radiolabeled. The imaging mentioned (CT, PET, MRI, x-ray) is for disease assessment, not related to radiolabeled antibodies. This is a false positive match - combination immunotherapy trial without radiopharmaceutical component.;llm_extracted;;PHASE1, PHASE2;City of Hope Medical Center;OTHER;ACTIVE_NOT_RECRUITING;2023-05-03;2022-11-25;20.0;United States;Metastatic Colon Adenocarcinoma, Metastatic Colorectal Adenocarcinoma, Metastatic Microsatellite Stable Colorectal Carcinoma, Metastatic Rectal Adenocarcinoma, Stage IV Colon Cancer AJCC v8, Stage IV Colorectal Cancer AJCC v8, Stage IV Rectal Cancer AJCC v8;;;REGISTRY:NCI-2022-09458 | OTHER:22251 | NIH:P30CA033572;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT05627635;;;;;;;;Phase 1/2;Academic/Hospital;2023.0;;;;
NCT03905135;;;;;;;;;;No;;;;;;;;;;False positive - not a radioimmunotherapy trial. This is a combination immunotherapy study using IL-15 (a cytokine) plus avelumab (an unconjugated anti-PD-L1 antibody). No radioisotope is involved. Avelumab is administered as a standard monoclonal antibody for immune checkpoint blockade, not as a radiolabeled conjugate. The trial aims to enhance antibody-dependent cellular cytotoxicity (ADCC) of avelumab through IL-15-mediated NK cell activation, but this is not radioimmunotherapy.;llm_extracted;;PHASE1;National Cancer Institute (NCI);NIH;COMPLETED;2019-06-07;2019-04-05;8.0;United States;Peripheral T-cell Lymphoma NOS, Mycosis Fungoides, Sezary Syndrome, Anaplastic Large Cell Lymphoma;;;UNKNOWN:19-C-0076;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT03905135;;;;;;;;Phase 1;NIH;2019.0;;;;
NCT06696768;;;;;;;;;;No;;;;;;;;;;This is NOT an RIT trial. This is a combination chemotherapy trial testing CA-4948 (emavusertib, an IRAK4 inhibitor small molecule) with standard FOLFOX chemotherapy plus bevacizumab (unconjugated anti-VEGF antibody) for metastatic colorectal cancer. No radiolabeled antibody component is present. Bevacizumab is used as an anti-angiogenic agent, not as a radiopharmaceutical. The PET/CT mentioned in interventions is for disease assessment/imaging, not delivery of therapy. This is a false positive from the search - likely matched on 'bevacizumab' and imaging modality references.;llm_extracted;;PHASE1;National Cancer Institute (NCI);NIH;RECRUITING;2025-06-23;2024-11-20;24.0;United States;Metastatic Colorectal Adenocarcinoma, Stage III Colorectal Cancer AJCC v8, Stage IV Colorectal Cancer AJCC v8, Unresectable Colorectal Adenocarcinoma;;;REGISTRY:NCI-2024-09416 | OTHER:10655 | OTHER:10655 | NIH:UM1CA186689;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT06696768;;;;;;;;Phase 1;NIH;2025.0;;;;
NCT04350216;;;;;;;;;;No;;;;;;;;;;FALSE POSITIVE: This trial uses PET/CT imaging with 18F-FDG and 18F-NaF as diagnostic tools to assess atherosclerosis in rheumatoid arthritis patients. The intervention is Sarilumab (unconjugated monoclonal antibody against IL-6 receptor) administered subcutaneously for RA treatment. The radiotracers (18F-FDG, 18F-NaF) are small-molecule imaging agents, not radiolabeled antibodies. Sarilumab itself is not radiolabeled. This is not an antibody-based radiopharmaceutical—it is a therapeutic antibody trial using nuclear imaging as an outcome measure.;llm_extracted;;PHASE4;Instituto de Investigación Marqués de Valdecilla;OTHER;UNKNOWN;2020-04-30;2020-04-16;20.0;;Rheumatoid Arthritis, Atherosclerosis;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT04350216;;;;;;;;Phase 4;Academic/Hospital;2020.0;;;;
NCT01730638;TF2 + 68Ga-IMP-288;Bispecific antibody;TF2;CEA;Ga-68;IMP-288 chelator;Biotin-streptavidin pretargeting;Diagnostic;Immunomedics / Gilead Sciences;Diagnostic;HIGH;HIGH;HIGH;HIGH;HIGH;MEDIUM;HIGH;HIGH;HIGH;This is a pretargeted immunoPET study. TF2 is an anti-CEA x anti-HSG bispecific antibody developed by Immunomedics (now part of Gilead Sciences). The HSG (histamine-succinyl-glycine) arm binds the radiolabeled IMP-288 peptide. The study uses Ga-68 for PET imaging of medullary thyroid carcinoma. IMP-288 is a di-HSG peptide with DOTA or similar chelator for Ga-68. This is diagnostic imaging only, not therapeutic. The pretargeting approach allows separation of antibody injection from radioisotope injection (1-3 days interval) to optimize tumor/background ratio.;llm_extracted;;PHASE1, PHASE2;Nantes University Hospital;OTHER;COMPLETED;2013-01;2012-11-21;25.0;France;Medullary Thyroid Carcinoma;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT01730638;CEA;TF2;Ga-68;DOTA;Bispecific antibody;Immunomedics;Biotin-streptavidin pretargeting;Phase 1/2;Academic/Hospital;2013.0;Epithelial tumor-associated antigen;Bispecific;PET;Macrocyclic chelator
NCT06249191;;;;;;;;;;No;;;;;;;;;;False positive. Mosunetuzumab is a bispecific antibody (CD20xCD3 T-cell engager) used for immunotherapy, not a radiolabeled antibody. The trial combines mosunetuzumab with DA-EPOCH chemotherapy for high-grade B-cell lymphoma. No radioisotope conjugation is involved. This is a standard immunotherapy + chemotherapy combination trial, not radioimmunotherapy.;llm_extracted;;PHASE1, PHASE2;OHSU Knight Cancer Institute;OTHER;RECRUITING;2024-06-13;2024-02-08;30.0;United States;Diffuse Large B-Cell Lymphoma, High Grade B-Cell Lymphoma;;;REGISTRY:NCI-2024-00070 | OTHER:STUDY00023707;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT06249191;;;;;;;;Phase 1/2;Academic/Hospital;2024.0;;;;
